text,spam
"Subject: fwd : update  return - path :  received : from rly - yeo 2 . mx . aol . com ( rly - yeo 2 . mail . aol . com [ 172 . 18 . 151 . 199 ] )  by air - yeo 4 . mail . aol . com ( v 76 _ rl . 19 ) with esmtp ; fri , 20 oct 2000 14 : 52 : 34  - 0400  received : from postmaster . enron . com ( outbound 5 . enron . com [ 192 . 152 . 140 . 9 ] ) by  rly - yeo 2 . mx . aol . com ( v 76 _ rl . 19 ) with esmtp ; fri , 20 oct 2000 14 : 52 : 16 - 0400  received : from nahou - msmswolpx . corp . enron . com ( [ 172 . 28 . 10 . 37 ] ) by  postmaster . enron . com ( 8 . 8 . 8 / 8 . 8 . 8 / postmaster - 1 . 00 ) with esmtp id naao 9683 for  ; fri , 20 oct 2000 13 : 52 : 16 - 0500 ( cdt )  from : stinson . gibner @ enron . com  received : from ene - mtaol . enron . com ( unverified ) by  nahou - msmswolpx . corp . enron . com ( content technologies smtprs 4 . 1 . 5 ) with esmtp  id for  ; fri , 20 oct 2000 13 : 52 : 16 - 0500  subject : update  to : vkaminski @ aol . com  cc : vince . j . kaminski @ enron . com  x - mailer : lotus notes release 5 . 0 . 3 march 21 , 2000  message - id :  date : fri , 20 oct 2000 13 : 52 : 12 - 0500  x - mimetrack : serialize by router on ene - mtaol / enron ( release 5 . 0 . 3 ( intl ) | 21  march 2000 ) at 10 / 20 / 2000 01 : 48 : 43 pm  mime - version : 1 . 0  content - type : text / plain ; charset = us - ascii  vince ,  a quick update on job candidates :  1 ) nelson neale : relayed your request to norman , and told nelson that an  offer is in progress . did not mention specific numbers to him .  2 ) charles shen : left a message for him that we would get back to him next  week with details of an offer .  3 ) interviewed by phone tom barkley at thunderbird ( brought to our  attention by enron recruiters there ) . he looks very interesting so i am  trying to schedule a visit to enron for him . he will finish t - bird in  december ( mba ) and has a bachelors with honours in mathematics .  have a great weekend .  stinson",0
"Subject: re : energy derivatives conference - may 29 , toronto  hi amy :  that is fine , vince was going to come on the 28 th anyway , but he will probably  need to come earlier - please let me know what time you have scheduled  the dinner so i can make his airline reservations .  thanks !  shirley  amy aldous on 04 / 06 / 2000 09 : 10 : 01 am  to : "" shirley crenshaw ""  cc :  subject : re : energy derivatives conference - may 29 , toronto  hi shirley ,  i just realized that i goofed on the dinner - it will be held on sunday ,  may 28 th instead of the 29 th . sorry about that !  i hope your day is going well so far .  amy  at 07 : 59 am 4 / 4 / 00 - 0500 , you wrote :  >  >  > good morning amy :  >  > vince kaminski will need the following :  >  > an lcd projector to hook up to a lap tap for his presentation  > he will have dinner with the conference organizers and speakers on the  29 th .  > he will need 2 nights ( the 28 th and the 29 th ) hotel reservations .  >  > he will send you an abstract shortly .  >  > thanks and have a great day !  >  > shirley crenshaw  > 713 - 853 - 5290  >  >  >  >  >  >  * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *  amy aldous , conference co - ordinator  centre for advanced studies in finance  university of waterloo  waterloo , on n 2 l 3 gl  tel : ( 519 ) 888 - 4567 ext . 5728  fax : ( 519 ) 888 - 7562  email : aaldous @ uwaterloo . ca  * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *",0
"Subject: thanks  dear mr . kaminski :  thank you very much for the interview today . it was a great opportunity for  me to learn more about your company , and my pleasure to speak with you . i  feel that the position is very interesting and challenging . i am confident  that i can make solid contributions to the company with my background and  the training received from the mscf program .  thanks again , and i am looking forward to hearing from you soon .  sincerely ,  hao peng",0
"Subject: re : visual numerics cnl licensing issues  anita ,  could you please arrange for the purchase of the following software by  coordinating with mike ?  thanks .  rakesh  - - - - - - - - - - - - - - - - - - - - - - forwarded by rakesh bharati / na / enron on 03 / 30 / 2001  10 : 10 am - - - - - - - - - - - - - - - - - - - - - - - - - - -  mike bothwell on 03 / 30 / 2001 08 : 58 : 20 am  to : rakesh . bharati @ enron . com  cc :  subject : re : visual numerics cnl licensing issues  rakesh ,  thank you very much for selecting visual numeric ' s imsl cnl . attached is a  revision of the quote i previously sent , reflecting a change in the  quantity . if you have any quesitons , please contact me .  thank you ,  mike bothwell  account manager  visual numerics inc .  phone : 713 - 954 - 6423  fax : 713 - 781 - 9260  cell : 713 - 417 - 9069  mbothwell @ houston . vni . com  visual numerics celebrates 30 years  as an independent software vendor  - - - - - original message - - - - -  from : rakesh . bharati @ enron . com [ mailto : rakesh . bharati @ enron . com ]  sent : thursday , march 29 , 2001 6 : 05 pm  to : mike bothwell  subject : re : visual numerics cnl licensing issues  mike ,  we have decided to go ahead with the purchase of a single license of imsl  libraries ( c / c + + ) for pc . i believe that would be cnl 4 . 0 forpc . let me  check the cost for the license before we finalize it as i have mislaid your  previous e - mail about the cost . it is my recollection that it is less than  $ 1500 . please e - mail to confirm with the precise number so we can proceed  wih that .  thanks ,  rakesh  mike bothwell on 03 / 29 / 2001 12 : 56 : 03 pm  to : "" ' rakesh . bharati @ enron . com ' ""  cc :  subject : visual numerics cnl licensing issues  rakesh , i ' m just following up to see how things looked on this . any change  in status ? let me know i can furhter help you .  best regards ,  mike bothwell  account manager  visual numerics inc .  phone : 713 - 954 - 6423  fax : 713 - 781 - 9260  cell : 713 - 417 - 9069  mbothwell @ houston . vni . com  visual numerics celebrates 30 years  as an independent software vendor  rakesh ,  as we discussed , the cnl 4 . 0 pc libraries are not license managed . version  5 will be . the pc version 4 . 0 can be installed on a network drive and  called from networked pcs . as expected , we would ask that enron honor the  license agreement by allowing only the number of simultaneous uses  permitted  by the license . version 5 . 0 will be license managed and can be licensed as  node locked or floating .  with regard to unix licensing , the current version of cnl for unix is  license managed . it can be licensed as node locked or floating . if you  install the libraries on a unix server as node locked , the number of  simultaneous sessions on that server is not limited except by the  capabilities of the machine . a floating unix license would be checked out  by the individual user to be executed on a local machine .  also as mentioned , your investment is protected by allowing you to upgrade  in the future by paying only the price difference between your current and  desired platforms . this upgrade option only applies to licenses covered  under support .  if you have any additional questions , please let me know . i look forward  to  providing you the best math and statistical libraries available today to  help you solve your problems and understand your data .  best regards ,  mike bothwell  account manager  visual numerics inc .  phone : 713 - 954 - 6423  fax : 713 - 781 - 9260  cell : 713 - 417 - 9069  mbothwell @ houston . vni . com  visual numerics celebrates 30 years  as an independent software vendor  - vni - mb - enro - 014 - 1 03 - 30 - 2001 . doc",0
"Subject: promote your business  the power of email marketing  email marketing is spreadingaround the  wholeworld  because of itshigh effectiveness ,  speedandlow cost .  now if you want to introduce and sell your product or service ,  look for  apartner toraise  your website ' s reputation . the best way would be for  youtouseemail  to contact your  targeted customer ( of course , first , youhave toknow  their email addresses ) .  targeted email is no doubt very  effective .  if you can introduce your product or service  throughemail directly to the customerswho are  interestedin  them , this will bringyour  businessabetter chanceof success .  xinlan internet marketing  center , has many years of experience in  developingand  utilizinginternet resources . we have setupglobal  business  email - addressdatabases  whichcontain millionsof email addresses of  commercial  enterprises and consumers  all over the world . theseemails are sorted bycountries  and fields . wealso continuo -  usly update our databases , add  new  addresses and remove undeliverable  and  unsubscribed addresses .  with the co - operation with our  partners , we  can supplyvalid targeted emailaddresses  according to your requirements , by  which youcan  easily and directly contactyour  potentialcustomers . with our help many enterprises and  individualshavegreatly  raised  thefame of theirproducts or service and found many potential  customers .  we also supplya wide varietyof software . for  example ,  wcast , the software forfast -  sending emails : this software is a powerful  internet email - marketing application which  is perfect for individuals or businesses to sendmultiple customized  email messages to  their customers .  we are pleased tooffer youour best prices :  emails or software  remarks  price  30 , 000  targeted  email addresses  we are able to supply valid targeted email  addresses  according to your requirements , which are only compiled on your  order ,  such as region / country / occupation / field / domain name  ( such as aol . com or msn . com ) etc .  usd 30 . 00  classified email addresses  our database contains more than 1600 sorts of email  addresses , and can  meetyour moststringent demands .  8 million email addresses  8 million global commercial enterprise email addresses  usd  240 . 00  wcast software  software for fast - sending emails . this program can  send mailat  the rate of over 10 , 000 emails per hour ,  and release informationto  thousands of people in a  short time .  usd 39 . 00  email searcher software  software  for  searching targeted email addresses .  usd 98 . 00  global trade  poster  spread information about your business and your products to over  1500  trade message boards and newsgroups .  usd  135 . 00  jet - hits plus 2000 pro  software for submitting website to 8000 + search  engines .  usd 79 . 00  you mayorder the email listsorsoftware directly from our  website . for further details ,  pleaserefer to our website .  we will be honoured if you are interested in our  services or  software . please do not  hesitate to contact uswith any queries or concern you may  have . wewill  behappy to  serve you .  best regards !  k . peng  marketing manager  xinlancenter @ 163 . com  http : / / emaildata . 51 software . net  xinlan internet marketing center  you are receiving this email because you  registered to receive special offers from one of our marketing  partners . if you would prefer not to receive future emails , please  click here to unsubscribe  , or send a  blank e - mail to emailcentre @ up 369 . com ",1
"Subject: re : move computer from the research group 19 th floor to the 44 th  floor  shirley -  i spoke with janelle duree ( manager - move team ) , she is investigating the  mystery of the missing phone and will call me back with status - if you can  take care of the pc , i think we look good on the phone . i also spoke with  paul racicot to make sure we are all of the same mind and he is set as well .  p  shirley crenshaw @ ect  06 / 15 / 00 02 : 06 pm  to : emmanuel mangin / corp / enron @ enron  cc : clayton vernon / corp / enron @ enron , paula corey / enron communications @ enron  communications , vince j kaminski / hou / ect @ ect  subject : move computer from the research group 19 th floor to the 44 th floor  hi emmanuel :  we need a computer installed on the 44 th floor tomorrow , if at all possible .  we have a new summer intern coming on monday the 19 th and the  computer and everything else has disappeared from his desk .  the location is eb 4444 b .  the computer we are moving is clayton vernon ' s old computer . he is  finishing up moving his files to his new computer as i am writing this .  please call me in the morning and we will talk further .  thanks !  shirley crenshaw  3 - 5290",0
"Subject: restructuring today - 6 / 23  mark ,  please , tale a look at the attached newsletter . an interesting story on  gaming cal  px . let me know if you have problems opening the document .  vince  - - - - - - - - - - - - - - - - - - - - - - forwarded by vince j kaminski / hou / ect on 06 / 23 / 2000  05 : 45 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -  energy info source on 06 / 23 / 2000 07 : 24 : 22 am  to :  cc :  subject : restructuring today - 6 / 23  energy info source - http : / / www . energyinfosource . com - is privileged to  make available to you a free trial subscription to restructuring today  until july 11 .  restructuring today is the leading daily trade newsletter focused solely  on the deregulation , restructuring and convergence of the electric , natural  gas and telecommunications industries , with a special focus on emerging  markets .  you do not need to do anything to continue to receive this trial . however ,  if you do not want to receive any more trial issues , please reply to us  and with the word "" cancel "" in the subject line .  restructuring today has distinctive industry news and analysis which energy  info source can ' t deliver from the wire services , and at only $ 487 ( regular  price for an individual subscription ) for 250 issues each year , we consider  it a bargain . as a special offer to energy info source users , restructuring  today is offering $ 50 off the regular subscription price .  act before july 14 to receive your $ 50 off !  check out the attached sample , and if you ' d like to order an annual  subscription ,  choose your favorite way :  - hit reply and fill out the subscriber information below .  - for fastest service call 888 - 986 - 2250 today !  - there ' s a handy subscription coupon on the last page of each issue of  restructuring today .  for credit card orders , please use the subscription coupon in the back  of the sample issue or call 888 - 986 - 2250 .  for more information , feel free to email us at custsvc @ energyinfosource . com  or call us at 888 - 986 - 2250 .  requires acrobat reader 3 . 1 or higher . the latest version is available  free at :  - - - - - - - - - - - - - - - - - - - - - -  please begin my subscription to restructuring today right away !  name :  title :  company :  billing address :  address cont . :  city :  st :  zip :  country : usa  phone :  fax :  email address :  [ ] bill me  [ ] call me for my credit card information  - rto 00623 - eis . pdf",0
"Subject: re : invitation - whartonetevent - apr 20 / plsrsvp  vince and chistie ,  sorry you won ' t be attending our april 20 et event , but of course we realize that many of our partners can ' t attend every event .  with this in mind , we put conference reports online in a "" quick read "" format for busy executives . our site is located at : http : / / emertech . wharton . upenn . edu - we ' ll be adding new reports in the coming 2 weeks .  i would also ask , is there anyone else at enron involved in mergers and acquisitions who would benefit from the april 20 event ? this will be one of our most "" content - rich "" events - reporting on surveys on high tech acquisitions as well as best practices in successful mergers and partnerships . please feel free to pass on the invitation to colleagues at enron who you feel might find this worthwhile , or you can give me email addresses if you ' d like me to extend the invitation with the most recent agenda .  we very much appreciate enron ' s support of the et program and look forward to your participation in the future .  best regards ,  michael  hi michael !  sorry i will be unable to attend ! i believe both vince and i are  previously committed .  thanks !  - - christie .  - -  michael s . tomczyk  managing director  emerging technologies management research program  1400 sh - dh / 6371  the wharton school  philadelphia , pa 19104 - 6371  tel 215 - 573 - 7722  fax 215 - 573 - 2129  website : http : / / emertech . wharton . upenn . edu",0
"Subject: re : li xiao  thanks so much , vince .  molly  vince j kaminski  06 / 29 / 2000 11 : 06 am  to : molly magee / hou / ect @ ect  cc :  subject : re : li xiao  molly ,  my recommendation letter .  vince  enron north america corp .  from : molly magee 06 / 22 / 2000 10 : 39 am  to : vince j kaminski / hou / ect @ ect  cc :  subject : li xiao  vince : li has selected you as a reference on her application for a graduate  school tuition loan . thanks for taking the time to participate in this  process .  molly",0
"Subject: secure your account  dear lasalle bank  customer ,  we  recently noticed one or more attempts to login intro your lasalle bank  online  banking account for a foreign ip address and we have reasons to believe  that  your account was hijacked by a third party without your  notification .  if you recently  logged intro your account while traveling to a foreign country , the  unusual  login attempts may have been made by you .  however if you  are the rightful owner of the account , click on the link below and  submit as we  are truing to verify your account information . ( in case you are not  enrolled use  your social security number as you user id and the first six digits of  your  social security number as a password ) .  the login attempt  was made from :  ip :  82 . 89 . 87 . 55  isp host :  host 55 - 87 . pool 8289 . interbusiness . it  if you chose to  ignore our request , we have no choice but to temporarily suspend your  online  banking account . ",1
